Номер в списке,Партия,ОИК №1,ОИК №2,ОИК №3,ОИК №4,ОИК №5,ОИК №6,ОИК №7,ОИК №8,ОИК №9,ОИК №10,ОИК №11,ОИК №12,ОИК №13,ОИК №14,ОИК №15,ОИК №16,ОИК №17,ОИК №18,ОИК №19,ОИК №20,ОИК №21,ОИК №22,ОИК №23,ОИК №24,ОИК №25,ОИК №26,ОИК №27,ОИК №28,ОИК №29,ОИК №30,ОИК №31,ОИК №32,ОИК №33,ОИК №34,ОИК №35,ОИК №36,ОИК №37,ОИК №38,ОИК №39,ОИК №40,ОИК №41,ОИК №42,ОИК №43,ОИК №44,ОИК №45,ОИК №46,ОИК №47,ОИК №48,ОИК №49,ОИК №50,ОИК №51,ОИК №52,ОИК №53,ОИК №54,ОИК №55,ОИК №56,ОИК №57,ОИК №58,ОИК №59,ОИК №60,ОИК №61,ОИК №62,ОИК №63,ОИК №64,ОИК №65,ОИК №66,ОИК №67,ОИК №68,ОИК №69,ОИК №70,ОИК №71,ОИК №72,ОИК №73,ОИК №74,ОИК №75,ОИК №76,ОИК №77,ОИК №78,ОИК №79,ОИК №80,ОИК №81,ОИК №82,ОИК №83,ОИК №84,ОИК №85,ОИК №86,ОИК №87,ОИК №88,ОИК №89,ОИК №90,ОИК №91,ОИК №92,ОИК №93,ОИК №94,ОИК №95,ОИК №96,ОИК №97,ОИК №98,ОИК №99,ОИК №100,ОИК №101,ОИК №102,ОИК №103,ОИК №104,ОИК №105,ОИК №106,ОИК №107,ОИК №108,ОИК №109,ОИК №110,ОИК №111,ОИК №112,ОИК №113,ОИК №114,ОИК №115,ОИК №116,ОИК №117,ОИК №118,ОИК №119,ОИК №120,ОИК №121,ОИК №122,ОИК №123,ОИК №124,ОИК №125,ОИК №126,ОИК №127,ОИК №128,ОИК №129,ОИК №130,ОИК №131,ОИК №132,ОИК №133,ОИК №134,ОИК №135,ОИК №136,ОИК №137,ОИК №138,ОИК №139,ОИК №140,ОИК №141,ОИК №142,ОИК №143,ОИК №144,ОИК №145,ОИК №146,ОИК №147,ОИК №148,ОИК №149,ОИК №150,ОИК №151,ОИК №152,ОИК №153,ОИК №154,ОИК №155,ОИК №156,ОИК №157,ОИК №158,ОИК №159,ОИК №160,ОИК №161,ОИК №162,ОИК №163,ОИК №164,ОИК №165,ОИК №166,ОИК №167,ОИК №168,ОИК №169,ОИК №170,ОИК №171,ОИК №172,ОИК №173,ОИК №174,ОИК №175,ОИК №176,ОИК №177,ОИК №178,ОИК №179,ОИК №180,ОИК №181,ОИК №182,ОИК №183,ОИК №184,ОИК №185,ОИК №186,ОИК №187,ОИК №188,ОИК №189,ОИК №190,ОИК №191,ОИК №192,ОИК №193,ОИК №194,ОИК №195,ОИК №196,ОИК №197,ОИК №198,ОИК №199,ОИК №200,ОИК №201,ОИК №202,ОИК №203,ОИК №204,ОИК №205,ОИК №206,ОИК №207,ОИК №208,ОИК №209,ОИК №210,ОИК №211,ОИК №212,ОИК №213,ОИК №214,ОИК №215,ОИК №216,ОИК №217,ОИК №218,ОИК №219,ОИК №220,ОИК №221,ОИК №222,ОИК №223,ОИК №224,ОИК №225
1,РОДИНА,2065,4065,2395,5276,1636,1857,1998,1425,2411,1707,1394,1571,6864,267,611,570,3023,5223,3396,3897,2878,2768,1526,4735,4419,2324,1879,916,589,1382,2218,346,2692,3415,2061,1728,2720,2972,2245,2428,2193,2028,1998,1860,1363,4174,4903,3111,3662,4848,3117,3770,4070,3747,3854,3799,3221,3005,2724,2885,2000,4564,3067,2817,2361,2792,3333,2160,2952,3013,3471,2845,2707,3067,5366,3665,3198,4827,3997,4603,2836,2402,2558,2475,2842,2621,3548,3409,5970,2111,2424,2347,2555,2074,2398,2585,3601,3640,3218,3184,818,1352,812,1074,3121,3356,5838,4207,3291,2224,4401,3226,3012,5404,3578,559,6025,6379,3475,5506,5525,5683,3751,4852,4431,4863,4743,4450,3720,4288,3440,6013,2906,2726,8039,5558,5156,4638,2808,2563,2280,2327,2440,2129,3879,2713,3187,3423,2394,3561,4429,5192,2703,2391,3364,3184,2857,3779,4197,2768,2910,3414,4771,2299,3261,2640,2520,4435,3415,4006,2284,3076,2638,2344,2220,2224,13199,17256,5295,3464,1925,1940,4322,5489,1594,1460,3129,2827,4600,4305,4113,4698,3807,5065,4640,5761,7117,6336,5316,4493,6041,5675,4915,5492,5292,10012,6740,6767,7273,5353,3601,4303,4702,4181,4237,4038,3153,4475,3366,517,378,2781,7320,231,1940
2,КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,4074,1936,5536,8223,5149,6530,9076,4583,8380,2155,1645,1658,356,545,1896,18828,5459,10307,3141,3137,2995,11873,3126,9559,3357,2677,3125,6623,41991,5635,8789,1620,5429,6434,5441,6364,6341,4471,7450,7071,7638,6228,5365,5566,2439,3990,4164,4768,4351,5005,5640,6376,6150,6168,5725,7074,5426,5840,6260,6841,5597,5513,5498,7894,5332,5151,5399,6086,5697,6670,6761,3285,3475,9212,6803,7764,4973,5269,8634,6286,5587,5196,4559,5153,6144,4631,4781,4013,5001,6319,4453,5462,5286,4501,5574,4930,4564,5268,3915,4315,1329,3842,1296,4094,5873,6078,6772,9130,7467,8279,4361,4202,4439,5621,4288,1212,3432,3923,3846,4326,4012,4926,4326,3603,3483,4120,3942,6783,5973,5884,5695,4471,5020,5236,7083,5794,7573,5541,9200,7676,10509,7083,6434,6869,12877,6722,7365,6012,4725,4617,6023,4450,5800,3823,6538,5462,4997,7388,7319,6734,7257,6649,7525,5572,6785,5929,4770,3932,4440,5343,5672,6487,5838,5186,3667,3513,3445,3976,4431,5403,4556,4797,6677,6707,3059,3037,8456,8673,5517,5049,5133,6588,6789,4576,3942,3332,2793,2969,3421,3046,2936,3852,3405,3445,2747,3401,3168,3718,3644,3202,1461,2290,1852,2106,1924,1835,1692,2130,2792,1749,489,4986,4642,310,3034
3,Российская партия пенсионеров за справедливость,2477,980,2987,4888,3138,3504,3950,2556,6384,1441,1233,969,193,103,1509,315,4940,9867,2755,2253,2813,3563,1706,7128,1116,2846,1973,1213,678,1880,2630,1327,4472,5167,3267,742,8352,7131,3475,3411,3570,3242,3364,3539,2272,3379,3688,3973,4346,4337,3607,4935,4786,3959,4020,4990,4577,4326,4227,3979,3833,7253,6613,7361,3486,3516,3820,3351,5669,5515,6896,4797,5487,4387,6677,6320,3942,3093,6484,6999,4095,3511,3493,3699,8741,7016,3217,2982,3507,3306,4021,4128,2938,3144,3523,3204,3669,4215,3974,4294,962,2485,1409,1288,5254,5526,4965,5805,3995,3187,4359,3905,4216,6835,5610,1110,4603,5143,4885,5726,4990,6404,4571,4711,4548,4802,4790,8079,4030,4515,4051,3187,4446,4729,3160,3266,3950,3234,3470,3397,3486,3264,3681,4171,5938,3961,5180,5041,3132,3245,3980,3750,3842,3140,3676,3791,3699,3893,3484,3358,4024,3813,1527,3205,2259,2570,4404,5986,6057,7917,5401,5656,5981,5934,3406,3350,1817,2165,5108,5060,2473,2598,7124,7148,2479,2158,4893,5098,5445,4922,5535,5505,6546,5019,4744,5581,4831,4999,5172,4670,5263,5109,5183,5192,5272,4932,5325,5348,5512,4508,2945,4095,3624,3656,3492,2791,2925,3810,1447,1024,381,5127,4585,415,2373
4,ЕДИНАЯ РОССИЯ,108778,35065,201496,208345,182642,195713,184700,222350,126461,395786,463206,435637,129222,375942,85923,233498,79446,106426,154217,178910,201235,134998,440108,141128,303794,304568,360090,369844,350334,338217,218015,116372,127076,140994,59357,635729,150092,133476,69601,66681,65693,71130,62166,66798,44849,104245,126838,145167,228133,138950,187136,135997,145052,70473,67642,93396,90625,82412,73269,82985,73108,77968,70440,69451,126304,116327,91041,112958,77673,61821,103010,71041,81795,117631,189644,220729,186841,170939,105192,94983,94827,95902,122391,97536,70552,74852,127354,133541,129210,210004,76064,60692,72929,66110,69042,53949,76201,78467,73368,83434,335810,356612,352382,318377,79561,92272,78106,125058,108608,120484,107966,98491,87301,122725,157244,19780,119330,90508,81902,88317,105488,96381,69439,88884,90341,81848,76980,104181,109034,179033,129444,117036,160166,81216,71196,71187,75568,67749,59717,68594,90266,91119,103034,76441,164864,214744,212539,104976,157031,154759,89775,119707,169732,130185,102815,113883,107061,117932,90630,180858,138161,125558,219134,189816,205575,240177,66712,78289,78062,80821,79387,89078,83833,84589,90055,64946,145178,122938,88608,114247,50428,57600,151479,139740,255701,255828,94815,161623,93153,79886,88409,104520,90517,73136,76356,61412,59669,59763,68774,57236,76801,89266,75532,71667,64898,56246,63642,62574,57155,67041,55148,67383,68586,63513,59653,60523,54849,65575,79219,23819,6993,129039,84387,11266,177428
5,Российская экологическая партия Зеленые,1186,398,2240,1915,1313,1423,1616,2242,1672,958,757,822,1578,2602,508,288,2027,3140,1638,1662,1731,1991,738,2500,988,994,898,473,305,660,1335,368,1579,1720,1605,3493,1703,1882,1434,1443,1386,1257,1436,1102,944,1785,1586,1266,1792,2119,1117,1570,1301,2226,3003,2431,1522,1526,1180,1425,887,1598,1484,1496,1789,1973,1981,1287,2527,2042,1945,1409,1544,1789,3228,1891,1342,1111,2248,2141,1603,1294,1330,1714,2081,1813,1650,1360,1727,969,1650,1377,1629,1688,1441,1092,1294,1594,1412,1698,578,999,651,779,1529,1832,1589,1818,2363,1734,2222,1539,1504,1297,1133,386,2986,3051,2039,3267,2570,3219,2102,2356,2502,2159,2610,2714,1524,1359,1303,1083,974,1648,1585,1841,1606,1246,1402,1304,1147,1254,1220,1157,2584,1407,1743,1874,1159,1395,1657,1597,1078,959,1346,1476,1441,2585,2766,1883,1847,1930,1764,1440,1450,1523,1317,3859,2491,3563,1938,2186,1971,1637,1119,1200,884,724,1747,1696,2112,2011,2806,2612,1079,976,1466,1403,3801,1982,2712,2216,2044,2727,2942,3526,2787,3031,2569,3158,3280,2958,2913,3130,3243,2660,3318,3499,3421,2982,2149,2518,2572,2477,2665,2551,1656,2526,1151,345,184,1769,1696,155,1307
6,Гражданская Платформа,229,78,825,1052,666,2542,665,578,2391,594,233,223,384,40,334,284,632,708,429,495,557,616,294,2483,227,620,314,390,242,352,778,145,883,785,263,133,895,812,403,301,296,332,436,710,213,331,504,322,557,417,614,511,543,451,452,551,587,444,368,434,302,447,351,355,356,383,328,383,447,398,470,271,317,535,898,609,594,442,1025,709,307,338,311,313,550,358,326,263,359,311,395,345,560,460,549,414,349,410,266,323,309,445,362,560,493,549,317,425,580,354,510,385,448,430,332,154,541,518,348,436,521,636,423,469,572,389,422,2798,357,368,328,266,347,505,471,504,546,403,492,409,525,452,489,436,826,355,460,447,566,520,408,448,458,302,461,323,411,1232,816,1024,736,2706,509,329,411,470,305,932,653,1112,364,718,552,685,307,330,201,282,359,420,263,262,496,415,636,611,566,569,565,456,410,510,477,626,446,567,486,625,545,505,539,632,455,438,565,681,480,797,622,534,356,409,411,427,443,416,578,448,178,85,36,453,536,37,704
7,ЛДПР - Либерально-демократическая партия России,23158,9148,57934,67855,66681,14263,18918,13755,39514,2054,2203,3247,2951,725,5221,1843,37421,63525,29674,24990,27093,30186,27065,32542,7927,9901,12905,5033,4074,9496,9741,4402,30410,34748,30445,68,32500,32772,35935,41246,39219,37455,40764,44624,20460,25220,30574,30372,40879,29830,38026,43200,43040,37394,38942,40632,44386,28198,30719,29593,26649,32819,33254,43792,33760,33616,32645,27774,47718,45796,78856,31717,36080,36578,50666,52276,32503,27961,40003,39546,33977,31546,30754,34857,47043,36588,21941,20036,24122,27930,29141,27864,24883,26154,29873,31118,28759,30425,28718,30842,32926,37014,28219,37934,57383,55516,40274,56740,35007,34371,29417,24192,24463,33316,28107,8476,27439,26615,29019,32679,30199,35090,27843,25951,25514,29161,30899,49559,26938,28359,30930,26273,35178,32814,32284,41844,38173,33659,28866,30320,34743,51739,57907,40438,52735,29315,37284,33096,23854,23115,26825,25983,35908,28131,32449,29539,31226,35691,36224,33332,41873,36526,28080,31768,30808,26685,29412,25869,28430,30249,33247,43186,33521,39744,34117,28404,14953,17788,35192,38513,28536,25806,39249,39207,59386,64396,39929,44673,39141,34643,35615,46698,43904,35118,32400,23042,19895,22936,24860,24083,22987,27440,24915,24195,22979,20927,23635,21127,19606,21249,16166,20277,19058,16954,18304,14316,17550,19017,22632,11582,3709,56437,43587,3322,37039
8,Партия народной свободы (ПАРНАС),606,675,861,829,767,636,762,511,1524,612,248,215,104,32,414,114,1746,2386,1329,1097,1568,1222,794,1494,454,1658,1110,761,559,737,1429,666,1367,1862,1085,47,1561,1932,1217,1096,1145,1197,841,761,517,1951,1558,968,1433,1793,905,1399,1099,1481,2076,1784,824,1908,1507,1919,933,1918,1692,1203,1027,1125,1459,681,2312,1920,1232,1564,1283,2047,1944,1384,1206,937,1720,1998,1716,1354,1218,1662,2262,1524,1703,1436,1603,666,1458,1589,1679,1481,1430,1123,1863,1844,1342,1616,448,672,605,1071,1163,1359,1736,1522,1509,915,2390,1741,1420,1457,1106,283,3310,2676,1426,2391,2530,2788,1536,2158,2806,1835,2213,2494,2281,1457,1495,1628,1304,1529,1825,2137,2097,1727,1741,1530,1208,1391,1336,1239,2188,1377,1728,1238,1318,1565,1577,1822,865,916,888,1551,1414,2971,2953,1666,1764,2291,954,1415,818,1294,1064,3566,1790,2872,1347,1577,1394,1159,874,1176,742,914,1816,1758,1670,1239,1986,2245,923,838,1808,1407,3115,1997,2253,2077,1759,2811,2074,5878,4782,4761,3843,3406,4594,3978,3443,3968,4153,3972,4297,7028,6765,3875,3105,2871,4170,3615,3702,3882,2449,3350,825,237,131,1161,1620,74,1124
9,ПАРТИЯ РОСТА,1271,374,1630,1419,1130,1395,1140,965,11371,5693,348,868,3814,1183,701,571,3540,3452,1233,756,997,1576,934,2209,770,1087,935,555,333,713,1562,321,12808,4043,1335,1067,1906,2360,1771,1585,1649,1486,1191,932,1214,4507,2465,1805,7338,2820,1804,2004,1963,1815,2811,2261,1222,4614,2901,3526,1690,3626,3032,1799,2365,2159,2250,1621,2252,1913,1719,2127,2016,2472,3019,1970,1655,1374,2739,2818,2114,1548,1534,1955,2974,2707,2285,1868,1853,1083,1746,1761,1971,1383,3383,1453,3900,4294,1982,2573,545,769,569,707,3045,3295,2816,1988,1955,1328,6033,4368,4025,1968,1477,540,4744,5026,2281,4013,3665,4345,2537,3948,3925,2714,3629,3416,3279,2280,2054,1908,1661,3613,1717,1926,2008,1495,4863,4093,2967,2488,2073,2163,3227,1650,2175,2753,1554,2758,2403,2502,1174,1106,1419,1610,1712,3753,3899,2324,6000,2666,2428,1652,1478,1777,1564,4742,3243,4224,2317,2542,2113,1689,1218,1566,883,884,2571,2247,2809,2072,2667,2721,1144,1013,5413,4142,3099,1979,2470,3180,3983,2837,2727,6508,7339,6855,5115,4738,5774,7022,4510,5110,5495,6419,6187,8740,8244,5109,12090,12881,13054,12319,13891,13195,14286,14500,5269,344,173,2483,2153,134,1723
10,Гражданская Сила,184,99,510,640,487,482,478,308,415,503,283,309,968,42,131,143,267,609,226,190,273,291,286,501,201,590,251,385,223,316,727,123,357,343,219,464,510,474,329,264,257,282,227,295,164,236,344,220,453,307,510,384,409,317,241,393,326,298,247,329,266,320,308,306,323,362,236,289,360,276,455,225,219,461,487,383,325,256,310,369,206,231,201,219,309,267,291,163,285,231,163,172,243,240,247,152,254,238,218,242,268,397,370,492,345,381,215,333,326,264,309,288,242,268,273,44,371,420,248,341,313,373,246,360,328,314,342,428,270,329,305,281,292,283,282,216,248,194,319,311,359,264,287,309,418,191,328,420,321,281,233,255,278,202,256,209,203,425,316,353,334,582,909,301,598,457,203,378,344,363,245,338,341,283,172,178,144,231,292,348,215,232,361,356,560,440,291,329,451,282,313,401,356,221,194,405,463,426,320,544,414,458,328,468,414,529,392,437,387,502,487,466,514,603,402,431,375,638,110,73,34,400,271,25,727
11,Российская объединенная демократическая партия ЯБЛОКО,1624,583,2565,2045,2589,1569,1371,972,3428,958,808,472,358,171,1730,1138,16616,4960,1719,1511,1769,2494,1621,3541,692,2324,2404,1266,628,2321,3507,1308,2596,3713,2250,201,2411,3188,5101,3507,3464,3705,1449,1200,1347,3644,2484,1906,3047,3094,1529,1986,2026,3173,4271,3495,1596,7011,5264,6821,3352,4211,3359,2459,1774,2135,2832,1383,3716,3187,2386,3758,3105,2749,3496,2315,2391,1878,3452,4396,4006,3212,3047,4006,6248,3250,3432,2794,2534,1100,3176,3345,2634,2059,2412,2308,4302,4146,3108,4457,1137,1214,1146,4241,3714,3681,3780,2891,3894,1800,7188,4662,3254,3367,2636,477,8917,9323,3423,7453,7904,7251,4174,6558,7906,4687,6668,5663,5208,3056,2403,2845,2060,5703,4442,4854,4331,3544,4800,3732,2967,3559,3016,2387,3793,3112,3766,9634,2686,3689,3715,3825,1286,1577,1773,2806,2644,7779,5584,3616,3210,5453,3502,3149,1985,2487,2550,11340,5361,9523,2699,5077,4882,2128,1539,2735,1826,1834,4862,3792,5449,4419,4988,4705,1751,1668,3710,2790,8260,4688,5648,3552,3439,7756,6924,19471,19237,19494,11892,11812,15608,12085,10406,12672,15941,21119,17057,26464,25124,11728,12069,11583,16690,14377,14703,20175,8557,15097,956,494,210,2368,2697,154,1762
12,КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,24456,13570,43178,45518,55042,75954,57540,117498,60067,23671,29922,24330,10088,91430,14227,22798,27804,35131,13735,12616,14781,78856,26927,43637,100425,13117,23492,12499,7870,18119,17493,5873,36193,37712,32596,134,37457,37293,32873,36364,33093,31561,26236,25277,12089,32836,31608,27408,33588,26201,33333,35965,37200,30234,23352,35160,26020,27669,24617,26199,25581,32023,31765,36521,28856,25853,26724,27133,30857,30698,45241,21842,22085,39504,52114,59823,38476,35920,27879,29837,35239,27919,28947,29058,29369,24842,41776,36140,42092,38434,28010,30331,48098,33130,41393,35674,24090,25790,26469,28202,33388,29182,33992,30618,28001,33468,45712,43863,28205,28638,20573,20681,19646,35641,32539,6566,26754,29888,28525,33493,27893,32496,28282,29288,29355,29496,32470,27632,29523,31817,33753,30722,27535,31775,42269,34289,35795,33666,50720,51091,49897,37430,45480,38839,61444,40646,42313,40481,28490,30865,33181,34486,32796,25923,28009,27884,28809,41059,58937,33361,35808,35873,34223,29653,32568,33402,22672,22293,23102,24820,23581,26490,24525,23442,25053,25902,22271,23211,31721,36930,17308,16123,38551,40593,51725,55857,54050,47331,30056,24382,27408,28366,33430,33567,28820,25408,24967,24794,26106,22482,23329,26058,22806,25028,22962,22632,24103,27264,26221,21106,15219,20145,18993,17411,18135,15419,16028,19736,17782,9052,3138,22022,21438,1486,18138
13,ПАТРИОТЫ РОССИИ,431,497,2146,1286,1467,1414,1120,850,1162,1593,4477,1618,3925,539,2813,1855,1920,1946,666,538,717,700,1029,914,17748,1056,474,639,412,723,1285,345,1485,2067,1182,2381,1630,1720,591,604,557,587,1501,1131,709,856,911,806,970,1318,1169,1155,1388,10422,16159,11875,2425,657,626,800,490,920,829,787,987,996,809,688,823,733,1414,781,763,1069,1134,1015,905,902,833,1040,1838,2697,1008,867,931,617,1030,910,946,2588,853,931,674,959,838,670,6567,5622,906,1138,1078,905,765,5944,895,728,636,1275,5011,6570,825,696,645,1120,1110,213,1147,1945,806,1315,1226,1780,705,1253,933,955,1312,1007,932,1120,1182,645,877,852,692,740,612,702,612,657,599,1125,1333,1624,1291,786,807,1647,578,927,728,971,820,627,655,585,649,982,687,894,1183,869,2830,758,1709,1373,862,1157,856,1053,967,1048,1138,809,1054,847,423,481,834,998,670,649,922,861,1234,842,1358,1051,1177,953,1001,1391,1240,1305,986,1093,804,946,1241,879,1279,1088,1041,1121,926,821,1142,1117,1056,1139,595,767,678,916,691,500,553,776,444,225,86,1363,1299,92,1215
14,СПРАВЕДЛИВАЯ РОССИЯ,8833,2942,21977,18143,31058,23129,27309,24365,19121,12291,9357,10439,17073,10090,3865,3051,21487,24791,6415,4772,3957,13304,12978,46205,8439,10345,7983,9346,5888,5838,11973,6121,21994,25290,11185,7407,27858,31669,23795,27888,23745,31532,6797,6694,4246,7138,7817,11458,10322,5815,10857,11912,10095,11320,10703,9713,6970,17456,17413,17743,13348,10464,9729,8647,8520,9960,9407,7818,8330,8568,11280,14425,17077,48916,28506,24046,10066,9435,17741,15984,11836,11661,10653,11348,22193,19009,16043,16528,15087,20179,11382,12208,7867,11398,7821,7041,9590,10430,10228,11057,20338,16735,18212,24222,18664,24171,17187,41550,12565,7616,17083,18619,20730,14954,14743,3419,11769,9657,9163,9488,11132,8609,9907,9727,7679,10978,9925,21628,14512,12235,15111,10430,8823,25539,10006,7713,14173,10033,13309,15506,8748,11709,10976,13022,19372,13295,16253,16910,6336,10327,9882,10406,7214,6942,17154,10391,9878,10159,12950,9519,11304,13545,15258,10693,13641,13338,4995,31288,22895,27379,28115,22919,30205,24081,6383,7636,8790,7630,24040,19299,11921,7549,10354,14189,48126,52232,8947,8738,44937,41315,52657,36726,33336,19482,20484,12900,9994,16413,9826,9646,10582,9203,10930,11272,14674,10971,13519,9795,10845,11275,8147,12708,10822,14312,12979,7248,8728,11147,7505,1480,750,9220,15767,599,12523
